Date,Open,High,Low,Close,Volume
7/12/2022,33.4,34.56,32.57,32.66,5210730.13
7/13/2022,32.66,35.03,31.85,34.93,7858859.19
7/14/2022,34.93,37.26,33.56,37.13,7284823.22
7/15/2022,37.13,39.07,36.52,37.37,5896972.54
7/16/2022,37.37,40.45,36.36,39.59,4951313.7
7/17/2022,39.59,41.07,38.3,38.62,4661533.32
7/18/2022,38.62,44.04,38.55,43.54,7088381.74
7/19/2022,43.54,47.45,42.56,44.88,9663727.44
7/20/2022,44.88,46.32,41.27,42.03,8465412.99
7/21/2022,42.03,44.07,39.67,43.11,8199665.44
7/22/2022,43.11,44.32,40.04,40.55,5679068.23
7/23/2022,40.55,41.92,38.62,39.98,3944732.24
7/24/2022,39.98,42.09,39.48,40.96,3293822.63
7/25/2022,40.96,41.1,36.58,36.6,6038450.63
7/26/2022,36.6,36.81,34.68,36.27,5542444.4
7/27/2022,36.27,40.54,35.68,40.24,6778777.45
7/28/2022,40.24,44.19,39.05,42.94,8461346.65
7/29/2022,42.94,44.4,41.18,41.93,6428823.87
7/30/2022,41.93,46.68,41.46,43.85,6641146.16
7/31/2022,43.85,45.21,42.24,42.37,4126065.16
8/1/2022,42.37,43.26,40.61,41.66,4605572.28
8/2/2022,41.66,42.43,39.53,39.75,4882067.06
8/3/2022,39.75,41.02,37.48,38.57,9655666.41
8/4/2022,38.57,39.82,37.96,38.82,3664255.31
8/5/2022,38.82,41.34,38.71,40.56,4532903.94
8/6/2022,40.56,40.91,39.85,40.07,1978716.3
8/7/2022,40.07,41.55,39.22,40.62,2224721.28
8/8/2022,40.62,43.69,40.56,42.22,4151072.14
8/9/2022,42.22,42.76,39.76,40.35,3761403.08
8/10/2022,40.35,42.87,39.17,42.48,5284120.12
8/11/2022,42.48,45.33,42.37,42.8,5127216.02
8/12/2022,42.8,45.53,42.18,45.52,4054602.07
8/13/2022,45.52,48.4,45.31,46.6,4669543.99
8/14/2022,46.6,48.07,44.58,44.87,3875796.32
8/15/2022,44.87,47.24,42.76,43.73,5378678.81
8/16/2022,43.73,44.31,42.56,43.09,4289771.2
8/17/2022,43.09,44.72,40.18,40.53,6378033.61
8/18/2022,40.53,41.67,39.34,39.51,4087320.14
8/19/2022,39.51,39.59,35.57,35.82,9636616.35
8/20/2022,35.82,37.26,34.19,35.28,6485931.35
8/21/2022,35.28,37.03,34.54,36.48,5197128.58
8/22/2022,36.48,36.54,33.76,35.42,6004047.83
8/23/2022,35.42,36.1,34.24,35.65,3802784.16
8/24/2022,35.65,36.39,34.31,34.88,3915754.42
8/25/2022,34.88,36.48,34.87,35.28,3414272.79
8/26/2022,35.28,35.78,31.37,31.73,5745895.83
8/27/2022,31.73,32.24,30.87,31.52,3343498.15
8/28/2022,31.52,32.21,30.13,30.43,2632653.67
